Tender,Company,Procurement,Notice,Location,Closing,Value,Date
"ESCC - SS - Sustainable Drainage System in Schools - Construction Phase 1, 2 & 3.",East Sussex County Council,  Opportunity,  Open,  South East,"   3 May 2024, 10am","  £258,000 to £1,400,000","   3 April 2024, last edited  8 April 2024"
C23047 Incident Command,Kent Fire and Rescue Service,  Opportunity,  Open,  England,"  20 May 2024, 12pm","  £235,000",   8 April 2024
Ashfield Graduate Talent Match project.  Ref: ADCE38C,Nottinghamshire County Council,  Opportunity,  Open,  East Midlands,"  30 April 2024, 12pm","  £85,577",   8 April 2024
SPMP Horizon Replacement,Post Office Limited,  Opportunity,  Open,  EC2V7ER,"   8 May 2024, 12pm","  £0 to £75,000,000",   8 April 2024
"Refurbishment of Winnipeg play area, Lowestoft",East Suffolk Council,  Opportunity,  Open,  IP12 1RT,"   3 May 2024,  4pm","  £0 to £40,000","  20 March 2024, last edited  8 April 2024"
GB-London: Friary Park Natural Flood Management Scheme-Main Contractor Works,London Borough of Barnet,  Opportunity,  Open,  London,"  20 May 2024, 12pm","  £100,000 to £500,000",   8 April 2024
Insurance Legal Panel (2024),London Borough of Sutton,  Opportunity,  Open,  England,"   7 May 2024, 12pm",  £0,   8 April 2024
Window Replacement Programme - Phase 17,London Borough of Hillingdon,  Opportunity,  Open,  UB8 1UW,"   8 May 2024, 12pm","  £450,000",   8 April 2024
PLACE513ER Little Eaton Branch Line Greenway,Derbyshire County Council,  Opportunity,  Open,  England,"   8 May 2024, 11am","  £2,700,000",   8 April 2024
MoJ Minor Works Dynamic Purchasing System,Ministry of Justice,  Opportunity,  Open,"  North East, North West, Yorkshire and the Humber, East Midlands, West Midlands, East of England, London, South East, South West, Scotland, Wales","   7 September 2029, 11:59pm","  £590,000,000","  10 September 2021, last edited  8 April 2024"
Provision Of Homelessness Emergency Accommodation (Hotel or B&B) Block bookings,Babergh District Council,  Early engagement,  Open,  IP1 2BX,   6 July 2024,Publication date  6 April 2024,None
Materials Supply and Management Framework (Generation 3),Echelon Consultancy Ltd,  Opportunity,  Open,  Any region,"  13 May 2024, 12pm","  £100,000,000 to £300,000,000",   5 April 2024
GMCA 944 - Greater Manchester Restorative Justice Service,Greater Manchester Combined Authority,  Opportunity,  Open,  England,"   6 May 2024, 12pm","  £247,059 to £494,118",   5 April 2024
CBC-1669-T-AS Reactive Waste Management,Central Bedfordshire Council,  Opportunity,  Open,  SG17 5TQ,"   7 May 2024,  9am",  £0,   5 April 2024
Canine Support Solution,Ministry of Defence,  Opportunity,  Open,  Any region,"   1 July 2024,  5pm","  £3,100,000",   5 April 2024
SD Wan Procurement,Your Housing Group,  Opportunity,  Open,  North West,"   8 May 2024,  4pm",  £0,   5 April 2024
LCC - Provision of Food Waste Processing and Transportation Services for Lincolnshire County Council,Lincolnshire County Council,  Opportunity,  Open,  England,"   7 May 2024,  3pm","  £1,000,000 to £2,000,000",   5 April 2024
Major Habitat Restoration - Epping Forest,City of London Corporation,  Opportunity,  Open,  London,"  15 May 2024,  5pm","  £480,000",   5 April 2024
Provision of Insurance and related services to Great Places Housing Group,Great Places Housing Group,  Opportunity,  Open,  Any region,"   7 May 2024,  5pm","  £12,400,000",   5 April 2024
CIS/ED/INM Education Placement/526849,Bristol City Council,  Opportunity,  Open,  South West,"  29 August 2024, 12pm","  £285,887",   5 April 2024
Fire Services - Fire and explosion protection and control consultancy services (VAT Exempt),London Borough of Haringey,  Opportunity,  Open,  United Kingdom,"   1 May 2024, 12pm","  £1,800,000","  20 March 2024, last edited  5 April 2024"
Communal Gas Servicing & Maintenance,LONDON & QUADRANT HOUSING TRUST,  Opportunity,  Open,  London,"  10 May 2024, 12pm","  £7,000,000",   5 April 2024
"Telephone & Data Transmission Services (""Moves, Adds and Changes"")",UNIVERSITY OF SOUTHAMPTON,  Opportunity,  Open,  South East,"   7 May 2024, 12pm","  £840,000 to £2,700,000",   5 April 2024
London and Quadrant Housing Trust - PassiveHaus Build Scheme London Dynamic Purchasing System (DPS),L&Q Group,  Opportunity,  Open,  E15 4PH,"   5 April 2028,  5pm",  £0,   5 April 2024
Procurement of Fleet (Vehicles and Associated Assets) Framework 2024,Halton Housing c/o Link Group,  Opportunity,  Open,  Any region,"   7 May 2024,  5pm","  £450,000,000",   5 April 2024
Toilet Attendant and Market Cleaner at West Bromwich Markets,Sandwell Metropolitan Borough Council,  Opportunity,  Open,  B69 3DB,"   6 May 2024,  3pm","  £100,000",   5 April 2024
CIS/ED/INM Education Placement/503895,Bristol City Council,  Opportunity,  Open,  South West,"  29 August 2024, 12pm","  £146,194",   5 April 2024
Dynamic Purchasing System - Construction Materials Application Stage,GreenSquareAccord,  Opportunity,  Open,  SN14 0GU,"  28 May 2024, 12pm","  £0 to £15,986,880",   5 April 2024
Electronic Permit System (software),United Kingdom Atomic Energy Authority,  Opportunity,  Open,  Any region,"   2 May 2024, 12pm","  £75,000 to £125,000",   5 April 2024
GB-Bricket Wood: Russell Court Main Roof Replacement,Hightown  Housing Association Ltd,  Opportunity,  Open,  East of England,"   7 May 2024, 12pm","  £100,000 to £500,000",   5 April 2024
Plumbing Subcontractors,City of York Council,  Opportunity,  Open,  Yorkshire and the Humber,"   7 May 2024, 12pm","  £800,000",   5 April 2024
LPS CAS - Cleaning Services at Tower Wood Outdoor Education Centre (OEC) - LCC35070,Lancashire County Council,  Opportunity,  Open,  North West,"   7 May 2024, 12pm","  £120,000 to £240,000",   5 April 2024
"EPHEAT24 - Heating Installation, Servicing and Maintenance Framework",Eastern Procurement Limited,  Opportunity,  Open,  NR16 1ET,"  10 May 2024, 12pm","  £75,000,000",   5 April 2024
Advance Northumberland (Developments) - Seton Hall - Windows & Doors,Advance Northumberland Limited,  Opportunity,  Open,  United Kingdom,"  10 May 2024,  5pm","  £200,000",   5 April 2024
CH232464 OUT OF HOURS CALL CENTRE SERVICE,London Borough of Ealing,  Opportunity,  Open,  W5 2HL,"  16 December 2024, 12pm","  £7,000,000","   5 April 2024, last edited  5 April 2024"
Ref:  2023-655 Supply Statistical advice and analysis to AHDB's Recommended List,AHDB,  Opportunity,  Open,  CV3 4PE,"  14 May 2024, 12pm",  £0,   5 April 2024
Framework Agreement for the Supply of Timber Products and Associated Materials,Durham County Council,  Opportunity,  Open,  England,"   3 May 2024, 12pm",  £0,   5 April 2024
Geospatial Data Services Framework - Prior Information Notice & Supplier Information Day,ORDNANCE SURVEY LIMITED,  Early engagement,  Open,  SO160AS,  31 May 2024,Publication date  5 April 2024,None
Ecological Services Framework 4 (EcoSF4),Environment Agency,  Opportunity,  Open,  Any region,"   7 May 2024, 12pm",  £0,"  11 March 2024, last edited  5 April 2024"
0760 Fourteen Meadows Road Retaining Wall Remediation Works 2024,Wigan Council,  Opportunity,  Open,  England,"   3 May 2024, 12pm","  £500,000",   5 April 2024
VIVID - Supply and Installation of Kitchens and Bathrooms,VIVID,  Opportunity,  Open,  South East,"  10 May 2024, 12pm","  £8,000,000",   5 April 2024
The Manufacture and Supply of Staff Uniforms and Web Based Portal,Govia Thameslink Railway Limited,  Opportunity,  Open,  South East,"   5 May 2024, 12pm","  £2,370,000",   5 April 2024
Steps Connecting MKWRP and Colts Holm Road,Milton Keynes Council,  Opportunity,  Open,  MK9 3EJ,"   3 May 2024, 12pm",  £0,   5 April 2024
Department for Transport: National Transport Model v5 2024 Rebase,DfTc - Department for Transport,  Future opportunity,  Open,  Any region,Approach to market date  3 May 2024,"  £150,000 to £300,000","  22 March 2024, last edited  5 April 2024"
UK_236 - Cultural Engagement ISO 9001:2015 Certification,British Council,  Opportunity,  Open,  E20 1JQ,"   6 May 2024, 12pm","  £15,000 to £45,000",   5 April 2024
TC983 - City-Wide Advice Service,Manchester City Council,  Opportunity,  Open,  United Kingdom,"   7 May 2024, 11am","  £4,800,000",   5 April 2024
Survey for Historic Churches,Historic England,  Opportunity,  Open,  SN2 2EH,"   3 May 2024,  4pm","  £50,000",   5 April 2024
UKRI-3090 Management and Commercialisation of UKRI-MRC Intellectual Property,UK Research and Innovation,  Opportunity,  Open,  Any region,"  17 May 2024,  5pm","  £9,600,000",   5 April 2024
Provision of External Audit Services,COMMONWEALTH WAR GRAVES COMMISSION,  Opportunity,  Open,  SL6 7DX,"  13 May 2024, 12pm",  £0,   5 April 2024
WHC - Arboriculture Contract,Welwyn Hatfield Borough Council,  Opportunity,  Open,  AL8 6AE,"   5 May 2024, 12:01pm","  £1,100,000 to £1,500,000",   5 April 2024
Parliamentary Monitoring Services,The Coal Authority,  Opportunity,  Open,  NG18 4RG,"  13 May 2024,  4pm","  £60,000",   5 April 2024
"Mawgan-in-Meneage, Cornwall Recreation Hall Renovation",Mawgan-in-Meneage Parish Council,  Opportunity,  Open,  South West,"   7 May 2024,  5pm","  £200,000 to £255,000",   5 April 2024
GB-London: Independent Evaluator for the 14-18 NOW Legacy Fund programme at Imperial War Museums,Imperial War Museums,  Opportunity,  Open,  Any region,"   8 May 2024, 12pm","  £25,000 to £50,000",   5 April 2024
SSD 24 01 SOFT MARKET TESTING Derbyshire Adult Day Opportunities Framework,Derbyshire County Council,  Early engagement,  Open,  East Midlands,  29 April 2024,Publication date  5 April 2024,None
"24039 Supply & Installation of Rising Bollards at St John's Street, Cambridge",Cambridgeshire County Council,  Opportunity,  Open,  CB2 1TW,"  10 May 2024, 12pm","  £40,000 to £50,000","  27 March 2024, last edited  5 April 2024"
PROVISION OF MAINTENANCE AND SERVICING OF BOILERS,Coventry University,  Opportunity,  Open,  West Midlands,"   7 May 2024, 12pm",  £0,   5 April 2024
CPU6090 - Nightly Paid Emergency Accommodation Framework,Nottingham City Council,  Opportunity,  Open,  England,"   8 May 2024, 10am",  £0,   5 April 2024
Market Engagement RFI - Meeting Papers Management on Behalf of SWL ICB,N H S Shared Business Services,  Early engagement,  Open,  United Kingdom,   3 May 2024,Publication date  5 April 2024,None
Private Building Adaptation,Leeds City Council,  Opportunity,  Open,  LS1 1UR,"   8 May 2024, 12pm",  £0 to £1,   5 April 2024
005-SNBD-24 SIMs and Data Only Contract for South Norfolk Council and Broadland District Council,Breckland District Council,  Opportunity,  Open,  NR7 0WF,"   3 May 2024,  2pm","  £100,000 to £336,000",   4 April 2024
Rushmoor Borough Council - Union Yard - Polden Studios   Purpose Built Student Accommodation - Property Management Services,Rushmoor Borough Council,  Opportunity,  Open,  GU14 7JU,"   7 May 2024, 12pm","  £3,550,000",   4 April 2024
Parkside Community and Sports Centre Development,Barnsley Metropolitan Borough Council,  Opportunity,  Open,  S70 2TA,"  10 May 2024, 12pm","  £1,780,000",   4 April 2024
Electrical Contractor Works,Golding Homes Limited,  Opportunity,  Open,  South East,"   7 May 2024,  5pm",  £0,   4 April 2024
Chenoweths Business Park Build,Chenoweths Business Park Limited,  Opportunity,  Open,  South West,"   9 May 2024, 12pm",  £0,   4 April 2024
"White Lining, Road Studs and High Friction Surfacing",City of Doncaster Council,  Opportunity,  Open,  Yorkshire and the Humber,"   7 May 2024, 12pm","  £0 to £1,650,000",   4 April 2024
Training and Testing audit services,DVSA - Driver and Vehicle Standards Agency,  Opportunity,  Open,  BS5 0DA,"   7 May 2024, 12pm","  £30,374.22",   4 April 2024
Internal decoration and floor coverings for 9 IL schemes,Progress Housing Group,  Opportunity,  Open,  England,"   3 May 2024, 12pm","  £200,000",   4 April 2024
Provision of Professional Procurement of  Catering Products at HEART Academies Trust,HEART ACADEMIES TRUST,  Opportunity,  Open,  East of England,"   6 May 2024,  4pm","  £1,500,000 to £1,725,000",   4 April 2024
CIS/ED/INM Education Placement/772574,Bristol City Council,  Opportunity,  Open,  South West,"  29 August 2024, 12pm","  £361,776",   4 April 2024
Arboriculture services in East Anglia,Flagship Housing Group,  Opportunity,  Open,  East of England,"  10 May 2024,  2pm","  £400,000",   4 April 2024
EMPOWER - Technical Assistance services to Creating a vibrant and self-sustaining private sector market for voluntary FP services in urban and semi-urban areas in Uganda,Foreign Commonwealth and Development Office,  Early engagement,  Open,  London,  31 May 2024,Publication date  4 April 2024,None
"SME, Academic and Ecosystem Innovation Programme Platform",Connected Places Catapult,  Opportunity,  Open,  United Kingdom,"   2 May 2024, 12pm","  £50,000",   4 April 2024
Provision of Roofing Replacements and Associated Products,Norse Commercial Services Ltd,  Opportunity,  Open,  East Midlands,"   7 May 2024, 11am","  £855,000",   4 April 2024
Specialist Transportation for Tissue Services,NHS Blood and Transplant,  Opportunity,  Open,  BS34 7QH,"   3 May 2024,  5pm","  £0 to £145,000",   4 April 2024
"Repairs, Diagnostic and Reporting Tool",West Lancashire Borough Council,  Early engagement,  Open,  England,   4 July 2024,Publication date  4 April 2024,None
L24035-T-TG landside bar concession,London Luton Airport,  Opportunity,  Open,  LU2 9LY,"  31 May 2024, 12pm","  £19,000,000 to £21,000,000",   4 April 2024
CBC-1662-T-TS Local Plan & Local Transport Plan Sustainability Appraisal,Central Bedfordshire Council,  Opportunity,  Open,  SG17 5TQ,"  30 April 2024, 12pm",  £0,   4 April 2024
"Management, Maintenance and Repair Services (Maintenance Services) for Age UK's Network of Retail Establishments",Age UK,  Opportunity,  Open,  Any region,"   7 May 2024, 12pm","  £1,000,000",   4 April 2024
T23/30_Student Recruitment Conversion,Anglia Ruskin University,  Opportunity,  Open,  CM1 1SQ,"   8 May 2024, 12pm","  £800,000 to £1,200,000",   4 April 2024
"Oil Sampling, Testing and Analysis Services & Effluent Discharge Consent Monitoring",Northern Trains Limited,  Opportunity,  Open,  Any region,"  16 May 2024, 12pm","  £950,000",   4 April 2024
Kitchen & Bathroom Replacement Programme - Phase 32,London Borough of Hillingdon,  Opportunity,  Open,  UB8 1UW,"   1 May 2024, 12pm","  £450,000",   4 April 2024
GR/HLN/Housing First Support Service,Bristol City Council,  Opportunity,  Open,  South West,"   6 May 2024, 12pm","  £675,001",   4 April 2024
Authorship-Joint Domestic Homicide review (DHR) and Safeguarding Adult Review (SAR),Cornwall Council,  Opportunity,  Open,  United Kingdom,"   1 May 2024, 11:59pm","  £13,000","   7 March 2024, last edited  4 April 2024"
E-Lab - Electronic Laboratory Notebook Software Package,CPI (Centre for Process Innovation),  Opportunity,  Open,  TS104RF,"   7 May 2024, 12pm","  £300,000 to £1,500,000",   4 April 2024
UK_234_Vendor Management System,British Council,  Opportunity,  Open,  E20 1JQ,"   9 May 2024, 12pm",  £0,"   4 April 2024, last edited  4 April 2024"
Fountain Court,Sandwell Metropolitan Borough Council,  Opportunity,  Open,  B69 3DE,"   3 May 2024,  5:19pm",  £0,   4 April 2024
CA12892 - York College- Framework Agreement for Construction & Facilities Management Consultancy,York College,  Opportunity,  Open,  YO23 2BB,"   8 May 2024, 12pm",  £0,   4 April 2024
Legal Services Framework Agreement,THE FINANCIAL REPORTING COUNCIL LIMITED,  Opportunity,  Open,  EC2Y 5AS,"   7 May 2024, 12pm","  £1,790,000 to £2,290,000",   4 April 2024
WSCC - Market Engagement Event - Older People Accommodation Based Care Services,West Sussex County Council,  Early engagement,  Open,  PO19 1RQ,   2 May 2024,Publication date  4 April 2024,None
Refurbishment of Former Activity Centre & Associated Works  - Warwick Road Activity Centre,Milton Keynes Council,  Opportunity,  Open,  MK9 3EJ,"  10 May 2024, 12pm",  £0,   4 April 2024
Valuation Services Framework,Town and Country Housing,  Opportunity,  Open,  Any region,"  17 May 2024,  5pm","  £250,000",   4 April 2024
CWC23140 - Washroom Services,Wolverhampton City Council,  Opportunity,  Open,  West Midlands,"   7 May 2024, 12pm","  £0 to £460,000",   4 April 2024
Early Release on Compassionate Grounds,Ministry of Justice,  Opportunity,  Open,  Any region,"   9 May 2024,  2pm","  £160,000",   4 April 2024
CA13818 - Endeavour Academies Trust - building cleaning services,Endeavour Academies Trust,  Opportunity,  Open,  TS5 4AG,"   7 May 2024, 10am",  £0,   4 April 2024
Fire Alarm Planned Service & Maintenance,Police and Crime Commissioner for North Wales Police & North Wales Police,  Opportunity,  Open,  Wales,"  15 May 2024,  2pm","  £200,000",   4 April 2024
Community Dental Management System,Harrogate and District NHS Foundation Trust,  Opportunity,  Open,  HG2 7SX,"   7 May 2024, 10am","  £120,000",   4 April 2024
Provision of Reporting Accountant : Housing Benefit (Subsidy) Assurance Process (HBAP),Cumberland Council,  Opportunity,  Open,  England,"   6 May 2024, 12pm","  £450,000",   4 April 2024
CA13866 - Utilities Supplies and Services,Crescent Purchasing Consortium Limited,  Early engagement,  Open,  M6 6AJ,   4 July 2024,Publication date  4 April 2024,None
Whitebridge Road Play Area Renewal Salisbury,Wiltshire Council,  Opportunity,  Open,  SP11QA,"  10 May 2024, 11:59pm","  £20,000 to £82,000","  25 March 2024, last edited  4 April 2024"
Atomic Layer Etching for 2DM studies,The University of Manchester,  Opportunity,  Open,  M13 9PL,"   7 May 2024, 12pm",  £0,   4 April 2024
Milling Machines,UNIVERSITY OF DERBY,  Opportunity,  Open,  DE22 1GB,"   2 May 2024, 12pm","  £40,000","   3 April 2024, last edited  4 April 2024"
"Framework Agreement for the Supply of Cleaning Equipment and Disposables, including Refuse Sacks",Hampshire County Council,  Opportunity,  Open,  SO23 9NR,"   9 May 2024,  2pm","  £2,500,000 to £3,000,000",   4 April 2024
Term Service Contract for the Repair and Maintenance to Corporate Properties,East Riding of Yorkshire Council,  Opportunity,  Open,  Yorkshire and the Humber,"  13 May 2024, 12pm","  £0 to £8,520,000",   4 April 2024
Buckinghamshire Therapies Approved Provider List (APL),Buckinghamshire Council,  Opportunity,  Open,  South East,"  30 March 2025, 11:59pm","  £328,000",   4 April 2024
Home Care Services,Cornwall Council,  Opportunity,  Open,  England,"  24 May 2024, 12pm","  £200,000,000 to £232,104,000","  26 February 2024, last edited  4 April 2024"
DC17 - Innovations in Dynamic Cable Interfaces ORE 24044,Offshore Renewable Energy Catapult,  Opportunity,  Open,  United Kingdom,"   1 May 2024, 12pm","  £50,000",   4 April 2024
GB-Reading: RBGKEW1305 - NHP Ground Investigation Survey,Royal Botanic Gardens,  Opportunity,  Open,  Any region,"   1 May 2024,  5pm","  £50,000 to £100,000",   4 April 2024
SC240037 Citizenship Ceremony Catering RFQ,Kent County Council,  Opportunity,  Open,  United Kingdom,"   1 May 2024, 12pm","  £75,000","   3 April 2024, last edited  4 April 2024"
St Bart's Multi Academy Trust - Cleaning Services,St Bart's Multi Academy Trust,  Opportunity,  Open,  West Midlands,"   3 May 2024, 12pm",  £0,   3 April 2024
St Bart's Multi Academy Trust - Catering Services Contract,St Bart's Multi Academy Trust,  Opportunity,  Open,  West Midlands,"   3 May 2024, 12pm",  £0,   3 April 2024
Recruitment Services,National Highways,  Opportunity,  Open,"  North East, North West, Yorkshire and the Humber, East Midlands, West Midlands, East of England, London, South East, South West","   7 May 2024,  5pm","  £19,200,000",   3 April 2024
"Supply, Installation and Maintenance Of Bus Shelters And Information Panels",Cheshire west and Chester Borough Council,  Opportunity,  Open,  England,"   4 June 2024,  5pm",  £0,"  16 February 2024, last edited  3 April 2024"
GambleAware - NGSN - Learning and Evaluation Partner - ITT,GAMBLEAWARE,  Opportunity,  Open,  WC1V 7JH,"   8 May 2024,  9am","  £349,999 to £350,000",   3 April 2024
CA13878 - Learning Academy Partnership South West ITT for Catering Equipment Servicing,Learning Academy Partnership South West,  Opportunity,  Open,  TQ12 3SB,"  30 April 2024, 12pm","  £30,000",   3 April 2024
SCC - Remedial Works to the Existing Concrete Prince George Extension on Southend-on-Sea Pier,Southend City Council,  Opportunity,  Open,  SS2 6FA,"  14 May 2024, 12pm","  £4,800,000 to £4,902,000","  26 February 2024, last edited  3 April 2024"
ITT - Security Operations Centre (SOC),National Physical Laboratory,  Opportunity,  Open,  TW11 0LW,"   3 May 2024,  5pm",  £0,   3 April 2024
Supply of LED Theatrical Lighting Equipment,Tunbridge Wells Borough Council,  Opportunity,  Open,  England,"   1 May 2024, 12pm","  £148,000",   3 April 2024
TRU Hull Botanic Depot Infrastructure Enhancements works (ES 5-8),BIP SOLUTIONS LIMITED,  Opportunity,  Open,  Yorkshire and the Humber,"   4 July 2024, 12am",  £0,   3 April 2024
Air Pollution Assessment Solution,JNCC Support Co,  Opportunity,  Open,  Any region,"   3 May 2024,  4pm","  £600,000",   3 April 2024
Domiciliary Care Patch Replenishment ITT,London Borough of Bromley,  Opportunity,  Open,  England,"   3 May 2024, 12pm","  £7,500,000",   3 April 2024
Community Domestic Abuse Sexual Violence Service (Safer Futures),Cornwall Council,  Early engagement,  Open,  South West,  31 July 2024,"Publication date 13 December 2023, last edited  3 April 2024",None
CA13873 - Tender 105/2023 - Tyrella Beach Amenity Building - New Build Project,"Newry, Mourne and Down District Council (NMD)",  Opportunity,  Open,  BT35 8DJ,"   1 May 2024,  3pm","  £400,000",   3 April 2024
GB-Bristol: Dorset Peat Partnership - Mire Restoration,Forestry England (for and on behalf of the Forestry Commission),  Opportunity,  Open,  South West,"   3 May 2024, 12pm","  £100,000 to £500,000",   3 April 2024
P2204  - Indicative Air Quality Sensors  (Phase 2),Birmingham City Council,  Opportunity,  Open,  B4 7DJ,"   8 May 2024, 12pm",  £0,"   3 April 2024, last edited  3 April 2024"
PEP/ASC/383912,Bristol City Council,  Opportunity,  Open,  South West,"  13 May 2024, 12pm","  £87,144.48",   3 April 2024
Green Finance Toolkit,DESNZ,  Opportunity,  Open,  Any region,"   8 May 2024,  1pm","  £370,000",   3 April 2024
West Lancashire Borough Council - Framework for Specialist Trades,RAND ASSOCIATES CONSULTANCY SERVICES LIMITED,  Opportunity,  Open,  North West,"   2 May 2024,  3pm","  £1,000,000",   3 April 2024
Library & MA Fine Art Refurbishment,Falmouth Exeter Plus,  Opportunity,  Open,  South West,"  30 April 2024, 12pm","  £600,000",   3 April 2024
St Tudy Playing Field Trust Community Hub,ST TUDY PLAYING FIELD TRUST,  Opportunity,  Open,  South West,"   7 May 2024,  5pm","  £400,000 to £450,000",   3 April 2024
BCH Provision of Planned Refurbishment Programmes of Works to Social Housing Properties within Blackpool,Blackpool Council,  Opportunity,  Open,  England,"   2 May 2024, 12pm","  £1,530,000",   3 April 2024
Mandatory training for students,University of Plymouth,  Opportunity,  Open,  PL48AA,"   2 May 2024, 12pm","  £80,000 to £240,000",   3 April 2024
Croxley Park - Property Management Services,Watford Borough Council,  Opportunity,  Open,  East of England,"  13 May 2024, 10am","  £1,500,000",   3 April 2024
Mayespark Primary School - Hatchside SEND Facility,London Borough of Redbridge,  Opportunity,  Open,  England,"   2 May 2024,  2pm","  £1,000,000",   3 April 2024
COV - Provider Engagement Event - West Midlands Residential Framework - Thursday 23rd May,Coventry City Council (COV),  Early engagement,  Open,  CV1 2GN,   3 July 2024,Publication date  3 April 2024,None
SEND Short Breaks Small Grants 2024,City of Bradford Metropolitan District Council,  Opportunity,  Open,  Yorkshire and the Humber,"   2 May 2024,  2pm","  £75,000",   3 April 2024
Catering Soft Market Test - London Borough of Merton,London Borough of Merton,  Early engagement,  Open,  England,   3 July 2024,Publication date  3 April 2024,None
Woodland Walk Sculpture Work,Bournemouth Christchurch and Poole Council,  Opportunity,  Open,  South West,"   3 May 2024,  2pm","  £70,000",   3 April 2024
Invitation to Quote to provide INCREES (Improving Norfolk Carbon Reduction and Energy Efficiency in Existing Stock): Feasibility Study,NORFOLK COUNTY COUNCIL,  Opportunity,  Open,  East of England,"   1 May 2024, 10am","  £0.01 to £50,000","   3 April 2024, last edited  3 April 2024"
Invitation to Quote to provide INCREES (Improving Norfolk Carbon Reduction and Energy Efficiency in Existing Stock): Implementation Plan,NORFOLK COUNTY COUNCIL,  Opportunity,  Open,  East of England,"   1 May 2024, 10am","  £0.01 to £50,000","   3 April 2024, last edited  3 April 2024"
Waste & Recycling Collections and Street Cleansing Contract,Wokingham Borough Council,  Early engagement,  Open,  England,  31 August 2024,Publication date  3 April 2024,None
Provision of Neighbourhood Planning Guidance and Templates,South Oxfordshire District Council,  Opportunity,  Open,  England,"  14 May 2024,  5pm","  £60,000",   3 April 2024
"2324-0295 Housing Management Service for Rosehip House, Windsor Street",Islington Council,  Opportunity,  Open,  England,"   3 May 2024, 12pm","  £403,587",   3 April 2024
The Supply & Distribution of Fresh Produce for the delivery of the Twelve15 Catering Service.,Surrey County Council,  Opportunity,  Open,  RH2 8EF,"   6 May 2024,  5pm","  £4,111,368",   3 April 2024
SBC0424 The provision of the collection and processing of recyclable materials - mixed glass,Stevenage Borough Council,  Opportunity,  Open,  SG1 1HN,"   8 May 2024, 12pm",  £0,"   2 April 2024, last edited  3 April 2024"
NCC1347 - Ellington Phase 4 Groundworks,Advance Northumberland Limited,  Opportunity,  Open,  North East,"   1 May 2024, 12pm","  £3,500,000","   3 April 2024, last edited  3 April 2024"
Forster Building Demolition at the University of Sunderland,University of Sunderland,  Opportunity,  Open,  SR1 3SD,"   1 May 2024,  9am","  £0.01 to £445,000",   3 April 2024
Heating System Replacement Works at Uxendon Manor Primary School,London Borough of Brent,  Opportunity,  Open,  London,"  30 April 2024, 12pm","  £340,000",   2 April 2024
Two Storey Vocational Classroom Block At St Philip's School,Orchard Hill College & Academy Trust,  Opportunity,  Open,  London,"   1 May 2024, 12pm",  £0,   2 April 2024
C260515 - Structured Education in Type 2 Diabetes on behalf of NHS Lincolnshire ICB,NHS Arden and Greater East Midlands Commissioning Support Unit,  Opportunity,  Open,  NG34 8GG,"   2 May 2024,  5pm","  £180,000 to £300,000",   2 April 2024
CA13868 - Air Source Heat Pump Workshop,Boston College,  Opportunity,  Open,  PE21 6JF,"  30 April 2024, 12pm",  £0,   2 April 2024
Short Breaks for Children and Young People with Disabilities and their Families (2024),Redcar & Cleveland Borough Council,  Opportunity,  Open,  North East,"   7 May 2024,  2pm",  £0,   2 April 2024
LSL/MED/0154 - The Supply of Flaked Ice Machines,Leidos Supply,  Opportunity,  Open,  Any region,"   2 May 2024,  1pm","  £465,600 to £1,164,000","   2 April 2024, last edited  2 April 2024"
Servicing of Air conditioning units at the British High Commission Nigeria-Regional Offices.,Foreign Commonwealth and Development Office,  Opportunity,  Open,  SW1A 2AH,"  30 April 2024,  4pm",  £0,   2 April 2024
Reablement and Rapid Response Service,City of York Council,  Opportunity,  Open,  Yorkshire and the Humber,"   7 May 2024, 12pm",  £0,   2 April 2024
The Supply of Future Maritime Operating Tables,Leidos Supply,  Opportunity,  Open,  Any region,"   2 May 2024, 12pm","  £720,000 to £1,800,000","   2 April 2024, last edited  2 April 2024"
Supported Accommodation Pseudo-Dynamic Purchasing System - Reopening Version 1,Peterborough City Council,  Opportunity,  Open,  England,"   2 May 2024, 12pm","  £16,000,000","   2 April 2024, last edited  2 April 2024"
GB-Middlesbrough: External LED Lighting Replacement,Teesside University,  Opportunity,  Open,  North East,"  30 April 2024, 12pm","  £100,000 to £500,000",   2 April 2024
SDC - Community Builder Project,Stratford District Council (SDC),  Opportunity,  Open,  CV37 6HX,"   3 May 2024, 12pm",  £0,   2 April 2024
GB-Bristol: Inclusive & Accessible Play Development Tender,Forestry England (on behalf of Forestry Commission),  Opportunity,  Open,  Any region,"  17 May 2024, 12pm","  £500,000 to £1,000,000",   2 April 2024
Pest Control Services (Lot 1) and Void Clearance & Cleaning Service including Pest Control (Lot 2),Salix Homes Limited,  Opportunity,  Open,  North West,"   7 May 2024,  1pm","  £320,000",   2 April 2024
HAC5988 MARKET ENGAGEMENT TOWER HAMLETS SINGLE HOMELESS  HOSTELS,Tower Hamlets,  Future opportunity,  Open,  England,Approach to market date  1 May 2024,"  £2,905,056",   2 April 2024
Broadband East Riding Programme: Connecting Very Hard to Reach Premises Pre-Market Engagement,East Riding of Yorkshire Council,  Opportunity,  Open,  Yorkshire and the Humber,"  15 May 2024, 12pm",  £0,   2 April 2024
